Νομός,Περιοχή,Καλλιέργεια,Έδαφος,Ανάγκες σε νερό (κ.μ./στρ.),Αριθμός Αρδεύσεων,Δόση Άρδευσης (κ.μ./στρ.)
Λασίθι,"Σητείας, Πισκοκεφάλου",Ελιές (ανεπτυγμένα δέντρα),Ελαφρύ,9,1,9
Λασίθι,"Σητείας, Πισκοκεφάλου",Ελιές (ανεπτυγμένα δέντρα),Μέσο,9,1,9
Λασίθι,"Σητείας, Πισκοκεφάλου",Ελιές (ανεπτυγμένα δέντρα),Βαρύ,9,1,9
Λασίθι,"Σητείας, Πισκοκεφάλου",Αμπέλι επιτραπέζιο (ανεπτυγμένα πρέμνα),Ελαφρύ,14,2,7
Λασίθι,"Σητείας, Πισκοκεφάλου",Αμπέλι επιτραπέζιο (ανεπτυγμένα πρέμνα),Μέσο,14,2,7
Λασίθι,"Σητείας, Πισκοκεφάλου",Αμπέλι επιτραπέζιο (ανεπτυγμένα πρέμνα),Βαρύ,14,2,7
Λασίθι,"Σητείας, Πισκοκεφάλου",Αμπέλι οινοποιήσιμο (ανεπτυγμένα πρέμνα),Ελαφρύ,14,2,7
Λασίθι,"Σητείας, Πισκοκεφάλου",Αμπέλι οινοποιήσιμο (ανεπτυγμένα πρέμνα),Μέσο,14,2,7
Λασίθι,"Σητείας, Πισκοκεφάλου",Αμπέλι οινοποιήσιμο (ανεπτυγμένα πρέμνα),Βαρύ,14,2,7
Λασίθι,"Μίλατος, Σίσι",Ελιές (ανεπτυγμένα δέντρα),Ελαφρύ,10,1,10
Λασίθι,"Μίλατος, Σίσι",Ελιές (ανεπτυγμένα δέντρα),Μέσο,10,1,10
Λασίθι,"Μίλατος, Σίσι",Ελιές (ανεπτυγμένα δέντρα),Βαρύ,10,1,10
Λασίθι,"Μίλατος, Σίσι",Αμπέλι επιτραπέζιο (ανεπτυγμένα πρέμνα),Ελαφρύ,14,2,7
Λασίθι,"Μίλατος, Σίσι",Αμπέλι επιτραπέζιο (ανεπτυγμένα πρέμνα),Μέσο,14,2,7
Λασίθι,"Μίλατος, Σίσι",Αμπέλι επιτραπέζιο (ανεπτυγμένα πρέμνα),Βαρύ,14,2,7
Λασίθι,"Μίλατος, Σίσι",Αμπέλι οινοποιήσιμο (ανεπτυγμένα πρέμνα),Ελαφρύ,14,2,7
Λασίθι,"Μίλατος, Σίσι",Αμπέλι οινοποιήσιμο (ανεπτυγμένα πρέμνα),Μέσο,14,2,7
Λασίθι,"Μίλατος, Σίσι",Αμπέλι οινοποιήσιμο (ανεπτυγμένα πρέμνα),Βαρύ,14,2,7
Λασίθι,Ιεράπετρα,Ελιές (ανεπτυγμένα δέντρα),Ελαφρύ,11,1,11
Λασίθι,Ιεράπετρα,Ελιές (ανεπτυγμένα δέντρα),Μέσο,11,1,11
Λασίθι,Ιεράπετρα,Ελιές (ανεπτυγμένα δέντρα),Βαρύ,11,1,11
Λασίθι,Μεραμβέλου,Ελιές (ανεπτυγμένα δέντρα),Ελαφρύ,10,1,10
Λασίθι,Μεραμβέλου,Ελιές (ανεπτυγμένα δέντρα),Μέσο,10,1,10
Λασίθι,Μεραμβέλου,Ελιές (ανεπτυγμένα δέντρα),Βαρύ,10,1,10
